tau_center,0.0500,0.0700,0.0900,0.1100,0.1300,0.1500,0.1700,0.1900,0.2100,0.2300,0.2500,0.2700,0.2900
0.0500,1.349561e+00,8.097962e-01,5.760898e-01,4.092454e-01,2.792706e-01,2.620871e-01,1.958444e-01,1.138549e-01,1.087435e-01,1.071443e-01,8.581037e-02,4.563067e-02,4.569655e-02
0.0700,8.097962e-01,4.870735e-01,3.461870e-01,2.456533e-01,1.675488e-01,1.572851e-01,1.175328e-01,6.830032e-02,6.525635e-02,6.431842e-02,5.151770e-02,2.738478e-02,2.743935e-02
0.0900,5.760898e-01,3.461870e-01,2.464542e-01,1.749878e-01,1.192884e-01,1.120719e-01,8.372382e-02,4.861282e-02,4.649554e-02,4.583090e-02,3.670329e-02,1.948528e-02,1.957702e-02
0.1100,4.092454e-01,2.456533e-01,1.749878e-01,1.245802e-01,8.486198e-02,7.976654e-02,5.957427e-02,3.457814e-02,3.309727e-02,3.261658e-02,2.611548e-02,1.385405e-02,1.395075e-02
0.1300,2.792706e-01,1.675488e-01,1.192884e-01,8.486198e-02,5.810304e-02,5.437039e-02,4.065515e-02,2.367463e-02,2.255600e-02,2.222944e-02,1.781630e-02,9.504939e-03,9.458663e-03
0.1500,2.620871e-01,1.572851e-01,1.120719e-01,7.976654e-02,5.437039e-02,5.119575e-02,3.819235e-02,2.215218e-02,2.121170e-02,2.091220e-02,1.674471e-02,8.876913e-03,8.945533e-03
0.1700,1.958444e-01,1.175328e-01,8.372382e-02,5.957427e-02,4.065515e-02,3.819235e-02,2.858889e-02,1.657682e-02,1.584433e-02,1.562045e-02,1.251227e-02,6.647666e-03,6.668800e-03
0.1900,1.138549e-01,6.830032e-02,4.861282e-02,3.457814e-02,2.367463e-02,2.215218e-02,1.657682e-02,9.704171e-03,9.200055e-03,9.061211e-03,7.263656e-03,3.885019e-03,3.851180e-03
0.2100,1.087435e-01,6.525635e-02,4.649554e-02,3.309727e-02,2.255600e-02,2.121170e-02,1.584433e-02,9.200055e-03,8.837707e-03,8.680958e-03,6.949506e-03,3.686698e-03,3.716154e-03
0.2300,1.071443e-01,6.431842e-02,4.583090e-02,3.261658e-02,2.222944e-02,2.091220e-02,1.562045e-02,9.061211e-03,8.680958e-03,8.583527e-03,6.856521e-03,3.635115e-03,3.661725e-03
0.2500,8.581037e-02,5.151770e-02,3.670329e-02,2.611548e-02,1.781630e-02,1.674471e-02,1.251227e-02,7.263656e-03,6.949506e-03,6.856521e-03,5.509242e-03,2.917913e-03,2.928194e-03
0.2700,4.563067e-02,2.738478e-02,1.948528e-02,1.385405e-02,9.504939e-03,8.876913e-03,6.647666e-03,3.885019e-03,3.686698e-03,3.635115e-03,2.917913e-03,1.577598e-03,1.541340e-03
0.2900,4.569655e-02,2.743935e-02,1.957702e-02,1.395075e-02,9.458663e-03,8.945533e-03,6.668800e-03,3.851180e-03,3.716154e-03,3.661725e-03,2.928194e-03,1.541340e-03,1.592841e-03
